"id","version","addedelements","removedelements","description"
1785,"8.0.1","{cmd/gvmap/power.h,lib/fdpgen/comp.h,lib/dotgen/position.c,lib/glcomp/glcomptexture.h,lib/gvc/gvcontext.c}","{plugin/core/gvrender_core_vml.c,plugin/visio/VisioText.cpp,cmd/gvmap/power.h,plugin/visio/VisioGraphic.cpp,plugin/visio/VisioGraphic.h,lib/expr/exgram.h,lib/glcomp/glcomptexture.h,plugin/visio/VisioText.h,lib/cgraph/cmpnd.c,plugin/visio/gvrender_visio_vdx.cpp,plugin/visio/VisioRender.cpp,plugin/visio/VisioRender.h,lib/fdpgen/comp.h,lib/dotgen/position.c,lib/gvc/gvcontext.c,plugin/visio/gvplugin_visio.c}","[I'm the libc++ maintainer]

I was trying to build Graphviz using the latest version of libc++ (the C++ Standard Library shipped with the Clang compiler, and used on Apple platforms), and I noticed the following error:

```
In file included from <graphviz>/blocks.cpp:22:
In file included from <graphviz>/blocks.h:32:
In file included from <toolchain>/usr/bin/include/c++/v1/set:427:
In file included from <toolchain>/usr/bin/include/c++/v1/__tree:17:
In file included from <toolchain>/usr/bin/include/c++/v1/algorithm:644:
In file included from <toolchain>/usr/bin/include/c++/v1/functional:512:
In file included from <graphviz>/Block.h:26:
In file included from <toolchain>/usr/bin/include/c++/v1/vector:274:
<toolchain>/usr/include/c++/v1/__bit_reference:172:38: error: no member named 'min' in namespace 'std::__1'
```

The issue is that we `#include <Block.h>` from <functional>, however Graphviz contains a block.h header (which is the same as Block.h on a case insensitive FS), and they collide. This triggers some circular dependency issue in libc++, which causes the build to fail. The root cause of the issue is that by including `<Block.h>` in libc++, we're potentially conflicting with a user-provided `<Block.h>` header. It would be better if `<Block.h>` were somehow namespaced, so that we know for sure we're not including a user provided header, however that's not the reality we live in.

I suggest fixing Graphviz in one of two ways:

1. Rename your `block.h` header to something else, or
2. Avoid adding `<graphviz>/lib/vpsc` to the include paths of the compiler. Instead, add `<graphviz>/lib` and then include `<vpsc/block.h>` from your code. This will effectively namespace the block.h header from your side, making sure that we don't find it when we include `<Block.h>` from libc++.

I acknowledge this is an annoying issue and I wish we had a better way of solving it from our side in libc++, however I can't think of a good solution from our side."
1242,"2.46.0","{lib/vmalloc/vmopen.c,lib/vmalloc/vmbest.c,windows/include/gvpr/gdefs.h,lib/vmalloc/vmclose.c,lib/fdpgen/fdp.h,lib/vmalloc/vmclear.c,lib/ast/strcopy.c,lib/edgepaint/lab_gamut.c,lib/glcomp/glCompTrackBar.h,lib/neatogen/pca.h,lib/fdpgen/comp.h,lib/rbtree/red_black_tree.h,lib/vmalloc/test.c}","{lib/sfio/Sfio_f/_sfeof.c,lib/sfio/Sfio_dc/sfdcfilter.c,lib/sfio/Sfio_f/_sfputl.c,lib/vmalloc/vmclose.c,lib/sfio/sfgetr.c,lib/fdpgen/fdp.h,lib/sfio/Sfio_dc/sfdcunion.c,lib/sfio/Sfio_f/_sfulen.c,lib/sfio/sfmutex.c,lib/sfio/Sfio_f/_sfclrerr.c,lib/sfio/sfgetl.c,lib/ast/strcopy.c,lib/edgepaint/lab_gamut.c,lib/sfio/Sfio_dc/sfdclzw.c,lib/sfio/sfgetd.c,lib/rbtree/red_black_tree.h,lib/sfio/Sfio_f/_sferror.c,lib/sfio/sfllen.c,lib/sfio/sftell.c,lib/sfio/Sfio_dc/sfdcseekable.c,lib/vmalloc/vmbest.c,windows/include/gdefs.h,lib/sfio/Sfio_f/_sfstacked.c,lib/sfio/sfputl.c,windows/include/exop.h,lib/sfio/sfreserve.c,lib/sfio/sfnotify.c,lib/sfio/Sfio_f/_sfdlen.c,lib/sfio/Sfio_dc/sfdctee.c,lib/sfio/sfdlen.c,lib/sfio/Sfio_f/_sfputd.c,lib/sfio/sfputd.c,lib/vmalloc/vmopen.c,lib/sfio/Sfio_f/_sfllen.c,lib/sfio/Sfio_dc/sfdcsubstream.c,lib/sfio/Sfio_f/_sfputm.c,lib/sfio/sfprints.c,lib/sfio/sfgetu.c,lib/sfio/Sfio_f/_sfputu.c,lib/vmalloc/vmclear.c,lib/sfio/sfpoll.c,lib/sfio/sfclrlock.c,lib/sfio/sfgetm.c,lib/sfio/sfpopen.c,lib/sfio/Sfio_f/_sfvalue.c,lib/sfio/sfset.c,lib/glcomp/glCompTrackBar.h,lib/neatogen/pca.h,lib/sfio/sfstrtod.c,lib/sfio/sfpurge.c,lib/sfio/Sfio_dc/sfdcslow.c,lib/sfio/Sfio_dc/sfdcdos.c,lib/sfio/sfputm.c,lib/sfio/sfputu.c,lib/sfio/sfpool.c,lib/sfio/sfsize.c,lib/fdpgen/comp.h}","*Created by: AstralStorm*

Graphviz is aliasing system headers memory.h and malloc.h.

This causes build failures against libc different than glibc, for example with bionic.

Additionally quite a few source files include <memory.h> while they should be using the graphviz version."
1753,"7.0.3","{lib/circogen/block.c,lib/neatogen/overlap.c}","{lib/circogen/block.c,lib/neatogen/overlap.c}","## Steps to reproduce

Install Graphviz using the `CMake` installer, e.g. by following [these instructions](https://forum.graphviz.org/t/new-simplified-installation-procedure-on-windows/224#abbreviated-installation-instructions-recommended-for-users-with-installation-experience)

## Expected Behaviour

Being able to run `neato`, `gvpr`, `fdp` and others.

## Actual Behaviour

```
C:\Users\magja>neato
'neato' is not recognized as an internal or external command,
operable program or batch file.

C:\Users\magja>gvpr
'gvpr' is not recognized as an internal or external command,
operable program or batch file.

C:\Users\magja>fdp
'fdp' is not recognized as an internal or external command,
operable program or batch file.

```

## OS Version

Windows 10

## Graphviz Version

`dot - graphviz version 2.44.1 (20200629.0846)`

## Additional info

Listing the files in the `CMake` and `MSBuild` installation and grepping for these programs gives this:
```
cmake-files2.txt:./bin/gvplugin_neato_layout.dll
cmake-files2.txt:./lib/gvplugin_neato_layout.lib
cmake-files2.txt:./lib/pkgconfig/libgvpr.pc
msbuild-files2.txt:./bin/fdpgen.lib
msbuild-files2.txt:./bin/gvplugin_neato_layout.dll
msbuild-files2.txt:./bin/gvplugin_neato_layout.exp
msbuild-files2.txt:./bin/gvplugin_neato_layout.lib
msbuild-files2.txt:./bin/gvpr.exe
msbuild-files2.txt:./bin/gvprlib.dll
msbuild-files2.txt:./bin/gvprlib.exp
msbuild-files2.txt:./bin/gvprlib.lib
msbuild-files2.txt:./bin/lneato.exe
msbuild-files2.txt:./bin/neatogen.lib
msbuild-files2.txt:./bin/sfdp.lib
```
I don't know what to make of this info, other than that `gvpr` seems to be included in the `MSBuild` installation."
634,"5.0.1","{lib/gvc++/GVRenderData.cpp}","{lib/gvc++/GVRenderData.cpp}","Ported Issue from Mantis
Original ID: 1932
Reported By: Steve Dodier-Lazaro

SEVERITY: MINOR
Submitted: 2010-08-03 09:21:00

OS: _-_-

VERSION: 2.20.2
## DESCRIPTION

<br>

Hello,
<br>

I'm opening this bug because I noticed libgraph is using char\* pretty much everywhere in it's function signatures, even when const char\* (static strings) are expected.
<br>

This is completely transparent in C, but with a modern C++ compiler, it triggers compilation warnings about const char\* being given to the functions instead of char\* if using static strings.
<br>

Since the functions seem to expect static strings and do not seem to modify them, I think they should use const char\* instead.
<br>

Cordially,
SD.
"
2058,"7.0.4","{lib/edgepaint/lab_gamut.h}","{lib/edgepaint/lab_gamut.h}","I thought I'd split off a new issue from #2057 to have a longer term discussion of what is the right way to handle symbol visibility. The remainder of this description is going to assume you have read the following:
* #205
* !1760
* #1940
* https://forum.graphviz.org/t/use-dllimport-dllexport-and-or-a-def-file-on-windows/620
* https://docs.microsoft.com/en-us/cpp/cpp/declspec?view=msvc-160
* https://docs.microsoft.com/en-us/cpp/build/exporting-from-a-dll-using-declspec-dllexport?view=msvc-160
* https://docs.microsoft.com/en-us/cpp/build/exporting-from-a-dll-using-def-files?view=msvc-160
* https://gcc.gnu.org/wiki/Visibility

So Graphviz (or really any C/C++ app+lib project) needs to manage visibility wrt linkage that is *outside* the C and C++ standards. To reiterate and stress that last part, there is currently no way to control this kind of symbol visibility with ISO standardized mechanisms.¹ Here is the ideal state for the end user, using the GCC visibility terms:

| context | symbol | visibility |
|----|----|----|
| compiling libfoo | `bar`, a symbol only used internally in libfoo | internal |
| compiling libfoo | `baz`, a symbol that is part of libfoo’s API | default | 
| compiling foo, an app that links against libfoo | `baz` | hidden |
| compiling foo | a symbol from foo itself | hidden |

There are a number of ways to control symbol visibility:
1. Command line options, e.g. `-fvisibility…`
2. GNU attributes, `__attribute((visibility(…)))`
3. MSVC `__declspec`
4. MSVC defs file

(1) is not useful for controlling symbol-by-symbol visibility. (2) is understood by GCC and Clang, but not MSVC. (3) is understood by GCC and MSVC, but not Clang.² (4) is hard to keep in sync with the source.

So essentially I think what we want to aim for is something like the following in a library’s API header:

```c
#ifdef FOO_EXPORT
#ifdef _WIN32
#define FOO_API __declspec(dllexport)
#elif defined(__GNUC__)
#define FOO_API __attibute__((visibility(""default"")))
#else
#define FOO_API /* nothing; suboptimal build with everything visible */
#endif
#else
#ifdef _WIN32
#define FOO_API __declspec(dllimport)
#elif defined(__GNUC__)
#define FOO_API __attribute__((visibility(""hidden"")))
#else
#define FOO_API /* nothing; suboptimal build with everything visible */
#endif
#endif
```

where `FOO_EXPORT` is only defined when compiling the library itself. There are some additional complications for C++,³ but for the most part I think this is it. Please comment if you think we should be moving towards something different.

CC @magjac, @compnerd_

¹ Neither `extern` nor `static` is the droid we are looking for.

² However, in practice the GCC interpretation of this is not so useful as e.g. `__declspec(dllimport)` does *not* imply `extern` as it does under MSVC.

³ As https://gcc.gnu.org/wiki/Visibility discusses, things that need RTTI typically need to be visible across SOs."
1873,"8.0.1","{}","{lib/expr/exgram.h}","Graphviz contains two APIs for in-memory dynamically expanding string buffers:
1. `sfstropen` and friends in lib/ast/sfstr.h
2. `agxbuf` functions in lib/cgraph/agxbuf.h

These are both analogues of [`open_memstream`](https://pubs.opengroup.org/onlinepubs/9699919799/functions/open_memstream.html).

(1) is implemented in terms of `sfnew` and encumbered by a lot of the SFIO implementation details, which are irrelevant for in-memory buffers. In contrast, (2) is about as clean and minimal as it's possible to get for something like this.

I think we should move towards deprecating `sfstropen` and migrate all existing uses to `agxbuf` functionality."
1457,"2.44.1","{lib/edgepaint/lab_gamut.c}","{lib/edgepaint/lab_gamut.c}","Hi all,

May I please suggest a build for Windows 10 x64?
I tried doing it myself, and it appears to be that many dependencies are missing.
For example: `\graphviz\windows\dependencies\libraries\x64\lib\xml2.lib`.

Thanks. Refael."
1798,"7.0.3","{lib/circogen/circpos.h,lib/glcomp/glcomptextpng.h,lib/sfdpgen/sfdpinternal.h,lib/glcomp/glcomptexture.h,lib/neatogen/call_tri.h,lib/neatogen/overlap.h,lib/neatogen/voronoi.h,lib/pathplan/solvers.h,lib/ast/strcopy.c,lib/edgepaint/lab_gamut.c,lib/circogen/block.c,lib/neatogen/overlap.c,cmd/smyrna/glexpose.h,lib/circogen/block.h,lib/neatogen/pca.h,lib/sfdpgen/sfdp.h,lib/osage/osage.h,cmd/gvmap/country_graph_coloring.h,cmd/smyrna/viewportcamera.h,lib/edgepaint/intersection.h,lib/edgepaint/lab_gamut.h,lib/dotgen/dot.h,tclpkg/tkstubs/tkInt.h,lib/circogen/circo.h,lib/common/htmllex.h,plugin/pango/gvgetfontlist.h,lib/neatogen/closest.h,lib/circogen/blockpath.h,lib/circogen/blocktree.h,lib/dotgen/position.c}","{lib/circogen/circpos.h,lib/glcomp/glcomptextpng.h,lib/sfdpgen/sfdpinternal.h,lib/neatogen/call_tri.h,lib/glcomp/glcomptexture.h,lib/neatogen/overlap.h,lib/neatogen/voronoi.h,lib/pathplan/solvers.h,lib/ast/strcopy.c,lib/edgepaint/lab_gamut.c,lib/circogen/block.c,lib/neatogen/overlap.c,cmd/smyrna/glexpose.h,lib/circogen/block.h,lib/neatogen/pca.h,lib/sfdpgen/sfdp.h,lib/osage/osage.h,cmd/gvmap/country_graph_coloring.h,cmd/smyrna/viewportcamera.h,lib/edgepaint/intersection.h,lib/edgepaint/lab_gamut.h,lib/dotgen/dot.h,tclpkg/tkstubs/tkInt.h,lib/circogen/circo.h,lib/common/htmllex.h,plugin/pango/gvgetfontlist.h,lib/neatogen/closest.h,lib/circogen/blockpath.h,lib/circogen/blocktree.h,lib/dotgen/position.c}","A nice easy issue for anyone to tackle if they get to it before me: a lot of code comments tell the reader to refer to CVS, but the code is now hosted using Git at Gitlab. I think we should just remove any comments referencing CVS."
1544,"7.0.2","{lib/neatogen/overlap.c}","{lib/neatogen/overlap.c}","When building without triangle support, the following function has an invalid signature:
https://gitlab.com/graphviz/graphviz/blob/master/lib/neatogen/overlap.c#L686"
1464,"5.0.1","{}","{cmd/lefty/lefty.c,cmd/lefty/os/unix/io.c}","I got to the Coverity Scan static analysis for graphviz, so sharing. Hopefully it will be useful. I am sorry I did only basic filtering of false positives - so there will be probably still many false positives. But at least [#def27], [#def29], and [#def185] - [#def189] seems suspicious. [graphviz-2.40.1-coverity-scan-results.txt](/uploads/056a54ec8ebb2d47e86a0de38beaf7f5/graphviz-2.40.1-coverity-scan-results.txt)"
1544,"6.0.2","{lib/neatogen/overlap.c}","{lib/neatogen/overlap.c}","When building without triangle support, the following function has an invalid signature:
https://gitlab.com/graphviz/graphviz/blob/master/lib/neatogen/overlap.c#L686"
1836,"7.0.4","{lib/glcomp/glcomptexture.h}","{lib/glcomp/glcomptexture.h}","The missing tools are:
* circo
* cluster
* diffimg
* dot2gxl
* dot_builtins
* dotty
* edgepaint
* fdp
* gc
* gv2gml
* gv2gxl
* gvedit
* gvmap
* gvmap.sh
* gvpr
* gxl2dot
* lefty
* lneato
* mingle
* neato
* osage
* patchwork
* prune
* sfdp
* smyrna
* twopi
* vimdot

See also https://gitlab.com/graphviz/graphviz/-/issues/1753 which tracks the difference between CMake and MSBuild builds on Windows."
1603,"2.46.0","{lib/vmalloc/vmopen.c,lib/vmalloc/vmbest.c,lib/vmalloc/vmclose.c,lib/vmalloc/vmclear.c,lib/vmalloc/test.c}","{lib/vmalloc/vmstat.c,lib/vmalloc/vmopen.c,lib/vmalloc/vmtrace.c,lib/vmalloc/vmbest.c,lib/vmalloc/vmdebug.c,lib/vmalloc/vmregion.c,lib/vmalloc/vmclose.c,lib/vmalloc/vmclear.c,lib/vmalloc/malloc.c,lib/vmalloc/vmset.c,lib/vmalloc/vmprofile.c,lib/vmalloc/vmsegment.c,lib/vmalloc/vmdisc.c,lib/vmalloc/vmwalk.c,lib/vmalloc/vmlast.c,lib/vmalloc/vmdcheap.c,lib/vmalloc/vmpool.c,lib/vmalloc/vmprivate.c}","On FreeBSD sbrk is required, however arm64 and RISC-V don't implement this. Previously I was able to work around this by defining `_std_malloc`, however since 7beb94c8a2 This has been removed."
1940,"5.0.1","{}","{cmd/dot/dot_builtins.c}","## Steps to reproduce

mingw32-make

## Expected Behaviour

Successful project building 

## Actual Behaviour

It fails on 6%
```
C:/Projects/MSYS2/mingw64/bin/../lib/gcc/x86_64-w64-mingw32/10.2.0/../../../../x86_64-w64-mingw32/bin/ld.exe: CMakeFiles\cdt.dir/objects.a(dtdisc.c.obj):dtdisc.c:(.bss+0x0): multiple definition of `Dtset'; CMakeFiles\cdt.dir/objects.a(dtclose.c.obj):dtclose.c:(.bss+0x0): first defined here
```
Full message log here: https://pastebin.com/3kR4JVxe

## OS Version

Windows 7 - 64
MSYS2
gcc 10.2.0

## Graphviz Version

2.46.0"
1740,"7.0.1","{lib/edgepaint/lab_gamut.h}","{lib/edgepaint/lab_gamut.h}","Add the following notes to the Winbuild page:
http://www.graphviz.org/doc/winbuild.html

1. Windows SDK 8.1 should be installed in Visual Studio 2019:
  - https://stackoverflow.com/questions/43704734/how-to-fix-the-error-windows-sdk-version-8-1-was-not-found
  - https://developer.microsoft.com/en-us/windows/downloads/sdk-archive/

2. MSVC v140 should be added
  - https://stackoverflow.com/questions/33154696/msbuild-error-the-builds-tools-for-v140-platform-toolset-v140-cannot-be-f"
1868,"2.47.1","{lib/gvc/gvio.h}","{lib/gvc/gvio.h}","The current code base (608aab7b989cf33b48145e1c78abdd73f598fe44) has four implementations (that I have found so far) of XML string escaping:
* `xml_string` and friends in cmd/tools/gv2gxl.c
* `xml_string` and friends in cmd/smyrna/smyrna_utils.c
* `xml_string` and friends in lib/common/labels.c
* `html_string` and friends in plugin/core/gvrender_core_vml.c

The identical comments surrounding these implementations make it clear they were once copy-pasted from the same source. The lib/common one looks like the original and a comment in Smyrna even explains why this situation exists:

```c
/* many of these functions are available in libcommon.
 * We cannot use those because dependencies cause a great
 * deal of libcommon to be brought in, which complicates
 * and makes possible conflicts as some parts of libcommon
 * rely on not using libcgraph.
 */
```

As far as I'm aware, this situation no longer exists. libcgraph is the only graph library supported and there is no sensible way to use libcommon without libcgraph. However, a naive attempt to undo the Smyrna code duplication fails because:
1. A number of libcommon headers rely on something else being #included prior to them. lib/common/utils.h that contains the libcommon prototype for `xml_string` cannot be #included without other libcommon headers being #included prior to it.
2. A number of libcommon typedefs/prototypes conflict with other ones in Smyrna headers.

The situation is pretty messy and may require diagnosing and undoing the conflicting definitions one-by-one. But I think it's worth doing in service of paring back the number of XML string escaping variants we're maintaining to 1."
1785,"2.47.3","{lib/glcomp/glcompimage.c,plugin/core/gvrender_core_map.c,lib/glcomp/glcompimage.h,lib/fdpgen/fdp.h}","{lib/glcomp/glcompimage.c,plugin/core/gvrender_core_map.c,lib/glcomp/glcompimage.h,lib/fdpgen/fdp.h,lib/expr/exrewind.c}","[I'm the libc++ maintainer]

I was trying to build Graphviz using the latest version of libc++ (the C++ Standard Library shipped with the Clang compiler, and used on Apple platforms), and I noticed the following error:

```
In file included from <graphviz>/blocks.cpp:22:
In file included from <graphviz>/blocks.h:32:
In file included from <toolchain>/usr/bin/include/c++/v1/set:427:
In file included from <toolchain>/usr/bin/include/c++/v1/__tree:17:
In file included from <toolchain>/usr/bin/include/c++/v1/algorithm:644:
In file included from <toolchain>/usr/bin/include/c++/v1/functional:512:
In file included from <graphviz>/Block.h:26:
In file included from <toolchain>/usr/bin/include/c++/v1/vector:274:
<toolchain>/usr/include/c++/v1/__bit_reference:172:38: error: no member named 'min' in namespace 'std::__1'
```

The issue is that we `#include <Block.h>` from <functional>, however Graphviz contains a block.h header (which is the same as Block.h on a case insensitive FS), and they collide. This triggers some circular dependency issue in libc++, which causes the build to fail. The root cause of the issue is that by including `<Block.h>` in libc++, we're potentially conflicting with a user-provided `<Block.h>` header. It would be better if `<Block.h>` were somehow namespaced, so that we know for sure we're not including a user provided header, however that's not the reality we live in.

I suggest fixing Graphviz in one of two ways:

1. Rename your `block.h` header to something else, or
2. Avoid adding `<graphviz>/lib/vpsc` to the include paths of the compiler. Instead, add `<graphviz>/lib` and then include `<vpsc/block.h>` from your code. This will effectively namespace the block.h header from your side, making sure that we don't find it when we include `<Block.h>` from libc++.

I acknowledge this is an annoying issue and I wish we had a better way of solving it from our side in libc++, however I can't think of a good solution from our side."
1940,"7.0.3","{lib/edgepaint/lab_gamut.h}","{lib/edgepaint/lab_gamut.h}","## Steps to reproduce

mingw32-make

## Expected Behaviour

Successful project building 

## Actual Behaviour

It fails on 6%
```
C:/Projects/MSYS2/mingw64/bin/../lib/gcc/x86_64-w64-mingw32/10.2.0/../../../../x86_64-w64-mingw32/bin/ld.exe: CMakeFiles\cdt.dir/objects.a(dtdisc.c.obj):dtdisc.c:(.bss+0x0): multiple definition of `Dtset'; CMakeFiles\cdt.dir/objects.a(dtclose.c.obj):dtclose.c:(.bss+0x0): first defined here
```
Full message log here: https://pastebin.com/3kR4JVxe

## OS Version

Windows 7 - 64
MSYS2
gcc 10.2.0

## Graphviz Version

2.46.0"
1854,"8.0.2","{lib/glcomp/glcomptexture.h}","{lib/glcomp/glcomptexture.h}","The following tools are not yet built for macOS in CI using autotools:

* ~~diffimg~~
* dotty
* gvedit
* lefty
* lneato
* mingle
* smyrna
* vimdot

The reason is that the necessary prerequisites are not yet installed on the GitLab macOS shared runner."
1573,"2.49.2","{lib/edgepaint/lab_gamut.c}","{lib/edgepaint/lab_gamut.c}","Hi,

From what I can tell there is limited / no support for a 64bit build on windows.  I was able to modify the existing windows solutions to produce what I needed.  I failed to build the following projects (which I don't think are strictly necessary)

1. diffimg
2. gvplugin_gd
3. mingle
4. minglelib
5. smyrna

Here is my patch:

[win64.patch](/uploads/2c04aa23eceba9d94395c5235d1288f7/win64.patch)"
2102,"8.0.2","{lib/edgepaint/lab_gamut.h}","{lib/edgepaint/lab_gamut.h}","We currently do not have any build using MinGW on Windows. This makes it very cumbersome to make changes that affect such builds. This issue suggests that we add at least one such build using autotools and/or cmake.

References: #1940, !1739, !1760."
1785,"2.50.0","{plugin/poppler/gvloadimage_poppler.c,lib/neatogen/overlap.h,lib/common/textspan.c,plugin/core/gvrender_core_map.c,lib/fdpgen/fdp.h,lib/dotgen/dot.h}","{plugin/poppler/gvloadimage_poppler.c,lib/neatogen/overlap.h,cmd/tools/tred2.c,lib/common/textspan.c,plugin/core/gvrender_core_map.c,lib/fdpgen/fdp.h,lib/dotgen/dot.h}","[I'm the libc++ maintainer]

I was trying to build Graphviz using the latest version of libc++ (the C++ Standard Library shipped with the Clang compiler, and used on Apple platforms), and I noticed the following error:

```
In file included from <graphviz>/blocks.cpp:22:
In file included from <graphviz>/blocks.h:32:
In file included from <toolchain>/usr/bin/include/c++/v1/set:427:
In file included from <toolchain>/usr/bin/include/c++/v1/__tree:17:
In file included from <toolchain>/usr/bin/include/c++/v1/algorithm:644:
In file included from <toolchain>/usr/bin/include/c++/v1/functional:512:
In file included from <graphviz>/Block.h:26:
In file included from <toolchain>/usr/bin/include/c++/v1/vector:274:
<toolchain>/usr/include/c++/v1/__bit_reference:172:38: error: no member named 'min' in namespace 'std::__1'
```

The issue is that we `#include <Block.h>` from <functional>, however Graphviz contains a block.h header (which is the same as Block.h on a case insensitive FS), and they collide. This triggers some circular dependency issue in libc++, which causes the build to fail. The root cause of the issue is that by including `<Block.h>` in libc++, we're potentially conflicting with a user-provided `<Block.h>` header. It would be better if `<Block.h>` were somehow namespaced, so that we know for sure we're not including a user provided header, however that's not the reality we live in.

I suggest fixing Graphviz in one of two ways:

1. Rename your `block.h` header to something else, or
2. Avoid adding `<graphviz>/lib/vpsc` to the include paths of the compiler. Instead, add `<graphviz>/lib` and then include `<vpsc/block.h>` from your code. This will effectively namespace the block.h header from your side, making sure that we don't find it when we include `<Block.h>` from libc++.

I acknowledge this is an annoying issue and I wish we had a better way of solving it from our side in libc++, however I can't think of a good solution from our side."
1544,"5.0.0","{lib/neatogen/overlap.c}","{lib/neatogen/overlap.c}","When building without triangle support, the following function has an invalid signature:
https://gitlab.com/graphviz/graphviz/blob/master/lib/neatogen/overlap.c#L686"
1544,"4.0.0","{lib/neatogen/overlap.c}","{lib/neatogen/overlap.c}","When building without triangle support, the following function has an invalid signature:
https://gitlab.com/graphviz/graphviz/blob/master/lib/neatogen/overlap.c#L686"
1740,"2.49.0","{lib/edgepaint/lab_gamut.c}","{lib/edgepaint/lab_gamut.c}","Add the following notes to the Winbuild page:
http://www.graphviz.org/doc/winbuild.html

1. Windows SDK 8.1 should be installed in Visual Studio 2019:
  - https://stackoverflow.com/questions/43704734/how-to-fix-the-error-windows-sdk-version-8-1-was-not-found
  - https://developer.microsoft.com/en-us/windows/downloads/sdk-archive/

2. MSVC v140 should be added
  - https://stackoverflow.com/questions/33154696/msbuild-error-the-builds-tools-for-v140-platform-toolset-v140-cannot-be-f"
2178,"7.0.5","{lib/cgraph/test_list.c,lib/cgraph/list.h}","{}","## Steps to reproduce

Run the CI tests on a computer with high load.

## Expected Behaviour

No errors.

## Actual Behaviour

I've seen a few different flavors:
* `AssertionError: osage -? did not show usage. Output was:`
* `Failed: Malformed version string:`
* `AssertionError: patchwork -? did not show usage. Output was:`
* `AssertionError: assert 'Warning: Illegal value might for ALIGN - ignored' in ''`
* `AssertionError: neato -? did not show usage. Output was:`

## OS Version

Windows 10 with MinGW 3.2.0-340.x86_64

## Graphviz Version

Various development versions including 3.0.0~dev.20220111.0459 and 2.50.1~dev.20220109.1142.

## Additional info

This problems are themselves not new. These tests were added in https://gitlab.com/graphviz/graphviz/-/merge_requests/2387 so we haven't been able to see them before that.

Links to failing jobs:

* https://gitlab.com/magjac/graphviz/-/jobs/1955416602
* https://gitlab.com/graphviz/graphviz/-/jobs/1958702924
* https://gitlab.com/graphviz/graphviz/-/jobs/1958233385
* https://gitlab.com/graphviz/graphviz/-/jobs/1958567111
* https://gitlab.com/magjac/graphviz/-/jobs/1959543455
* https://gitlab.com/graphviz/graphviz/-/jobs/1960812195"
1753,"5.0.1","{cmd/dot/dot_builtins.cpp,lib/circogen/block.c,lib/common/xml.c,lib/neatogen/overlap.c,cmd/smyrna/gui/glcompui.c,lib/circogen/edgelist.c}","{lib/circogen/block.c,lib/common/xml.c,lib/neatogen/overlap.c,cmd/smyrna/gui/glcompui.c,lib/circogen/edgelist.c}","## Steps to reproduce

Install Graphviz using the `CMake` installer, e.g. by following [these instructions](https://forum.graphviz.org/t/new-simplified-installation-procedure-on-windows/224#abbreviated-installation-instructions-recommended-for-users-with-installation-experience)

## Expected Behaviour

Being able to run `neato`, `gvpr`, `fdp` and others.

## Actual Behaviour

```
C:\Users\magja>neato
'neato' is not recognized as an internal or external command,
operable program or batch file.

C:\Users\magja>gvpr
'gvpr' is not recognized as an internal or external command,
operable program or batch file.

C:\Users\magja>fdp
'fdp' is not recognized as an internal or external command,
operable program or batch file.

```

## OS Version

Windows 10

## Graphviz Version

`dot - graphviz version 2.44.1 (20200629.0846)`

## Additional info

Listing the files in the `CMake` and `MSBuild` installation and grepping for these programs gives this:
```
cmake-files2.txt:./bin/gvplugin_neato_layout.dll
cmake-files2.txt:./lib/gvplugin_neato_layout.lib
cmake-files2.txt:./lib/pkgconfig/libgvpr.pc
msbuild-files2.txt:./bin/fdpgen.lib
msbuild-files2.txt:./bin/gvplugin_neato_layout.dll
msbuild-files2.txt:./bin/gvplugin_neato_layout.exp
msbuild-files2.txt:./bin/gvplugin_neato_layout.lib
msbuild-files2.txt:./bin/gvpr.exe
msbuild-files2.txt:./bin/gvprlib.dll
msbuild-files2.txt:./bin/gvprlib.exp
msbuild-files2.txt:./bin/gvprlib.lib
msbuild-files2.txt:./bin/lneato.exe
msbuild-files2.txt:./bin/neatogen.lib
msbuild-files2.txt:./bin/sfdp.lib
```
I don't know what to make of this info, other than that `gvpr` seems to be included in the `MSBuild` installation."
